,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
20,0.6505194187164307,0.10568079948425294,0.6034615384615385,0.6146153846153846,10.0,"(15,)",35,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 35}",188,0.5711538461538461,0.5754807692307692,0.675,0.7086538461538462,0.6211538461538462,0.6072115384615384,0.551923076923077,0.5865384615384616,0.5980769230769231,0.5951923076923077,0.037142386589832134,0.0017459141729330374,0.042801316133057106,0.048156280658538275
21,0.6325468063354492,0.10666117668151856,0.5746153846153846,0.5770192307692307,10.0,"(15,)",40,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 40}",220,0.6711538461538461,0.6725961538461539,0.4826923076923077,0.5269230769230769,0.5942307692307692,0.5576923076923077,0.5557692307692308,0.5548076923076923,0.5692307692307692,0.573076923076923,0.026132687774734906,0.0016136031525047357,0.06089082285281014,0.050053964960670445
22,0.655065393447876,0.10697979927062988,0.5688461538461539,0.6039423076923076,10.0,"(15,)",45,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 45}",225,0.5634615384615385,0.5836538461538462,0.5846153846153846,0.6307692307692307,0.5365384615384615,0.5879807692307693,0.5576923076923077,0.5774038461538461,0.6019230769230769,0.6399038461538461,0.015869527702728748,0.0014301419845871956,0.022538592806128632,0.02601383621375771
23,0.6468070030212403,0.10584239959716797,0.5296153846153846,0.5415384615384615,10.0,"(15,)",50,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 50}",251,0.6173076923076923,0.5807692307692308,0.4653846153846154,0.47307692307692306,0.475,0.5120192307692307,0.5788461538461539,0.6105769230769231,0.5115384615384615,0.53125,0.04192389809000877,0.0013572118071129605,0.05924325542717475,0.04892766518155497
24,0.6668805599212646,0.10595903396606446,0.6053846153846154,0.6315384615384616,10.0,"(15,)",55,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 55}",181,0.6,0.6283653846153846,0.6134615384615385,0.6302884615384615,0.6134615384615385,0.6336538461538461,0.5903846153846154,0.6475961538461539,0.6096153846153847,0.6177884615384616,0.009640543464157008,0.001582027228808462,0.008970695222838942,0.009623073848612928
25,0.646329402923584,0.10697979927062988,0.5446153846153846,0.5729807692307692,10.0,"(15,)",60,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 60}",240,0.5134615384615384,0.5423076923076923,0.551923076923077,0.573076923076923,0.5461538461538461,0.6168269230769231,0.6076923076923076,0.6466346153846154,0.5038461538461538,0.4860576923076923,0.01993456779280659,0.0010100329679720763,0.03651618754282437,0.05629181548968076
26,0.7104611873626709,0.10587067604064941,0.5715384615384616,0.5815384615384616,10.0,"(31,)",2,"{'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0, 'filter__n': 2}",221,0.6019230769230769,0.6278846153846154,0.6346153846153846,0.6221153846153846,0.5,0.5,0.5865384615384616,0.5975961538461538,0.5346153846153846,0.5600961538461539,0.1572079551934746,0.0006329041548316424,0.04818295998728278,0.04724530752191414
27,0.6419439792633057,0.1061258316040039,0.578076923076923,0.5826923076923076,10.0,"(31,)",5,"{'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0, 'filter__n': 5}",218,0.5903846153846154,0.6120192307692308,0.5346153846153846,0.5427884615384615,0.573076923076923,0.5875,0.5826923076923077,0.5875,0.6096153846153847,0.5836538461538462,0.012860480774525923,0.0014835311809144247,0.02482483009708452,0.02235861230887775
28,0.6434999465942383,0.10638980865478516,0.6273076923076923,0.6361538461538461,10.0,"(31,)",10,"{'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0, 'filter__n': 10}",134,0.6057692307692307,0.625,0.6653846153846154,0.6716346153846153,0.6307692307692307,0.6379807692307692,0.6096153846153847,0.6384615384615384,0.625,0.6076923076923076,0.01614207240572577,0.00147361418079086,0.021185291313723695,0.02098578343805338
29,0.6658170700073243,0.10662612915039063,0.6611538461538462,0.6678846153846154,10.0,"(31,)",15,"{'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0, 'filter__n': 15}",82,0.6923076923076923,0.6875,0.6846153846153846,0.6759615384615385,0.6461538461538462,0.6711538461538461,0.5961538461538461,0.6129807692307693,0.6865384615384615,0.6918269230769231,0.010871760356522766,0.0007170288773265609,0.036374124361651966,0.02845471591824745
