,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
24,0.12710232734680177,0.001654195785522461,0.5642307692307692,0.5783653846153847,10.0,"(15,)",55,"{'NN__alpha': 10.0, 'pca__n_components': 55, 'NN__hidden_layer_sizes': (15,)}",139,0.55,0.5581730769230769,0.55,0.5230769230769231,0.5423076923076923,0.5870192307692308,0.5903846153846154,0.6504807692307693,0.5884615384615385,0.573076923076923,0.023789883597701712,0.00015034603762371853,0.020769230769230772,0.04187607633519131
25,0.09769415855407715,0.0026352405548095703,0.5073076923076923,0.5204807692307692,10.0,"(15,)",60,"{'NN__alpha': 10.0, 'pca__n_components': 60, 'NN__hidden_layer_sizes': (15,)}",249,0.4576923076923077,0.49278846153846156,0.5365384615384615,0.5370192307692307,0.5365384615384615,0.5403846153846154,0.5,0.5158653846153847,0.5057692307692307,0.5163461538461539,0.006040101257617902,0.0007726054318958627,0.029073463367637317,0.017175241055817612
26,0.06816482543945312,0.0012363433837890626,0.5,0.5,10.0,"(31,)",2,"{'NN__alpha': 10.0, 'pca__n_components': 2, 'NN__hidden_layer_sizes': (31,)}",256,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.020539240509484864,0.0001862693179464974,0.0,0.0
27,0.10237975120544433,0.0014659404754638673,0.6276923076923077,0.6411538461538462,10.0,"(31,)",5,"{'NN__alpha': 10.0, 'pca__n_components': 5, 'NN__hidden_layer_sizes': (31,)}",42,0.5269230769230769,0.575,0.6884615384615385,0.6692307692307692,0.6288461538461538,0.6211538461538462,0.6403846153846153,0.6682692307692307,0.6538461538461539,0.6721153846153847,0.009786728396491166,0.000331045501213266,0.054210307105288597,0.03810119661417412
28,0.10734081268310547,0.0015873432159423829,0.61,0.615576923076923,10.0,"(31,)",10,"{'NN__alpha': 10.0, 'pca__n_components': 10, 'NN__hidden_layer_sizes': (31,)}",61,0.5692307692307692,0.5894230769230769,0.6192307692307693,0.6274038461538461,0.6442307692307693,0.6293269230769231,0.5788461538461539,0.6076923076923076,0.6384615384615384,0.6240384615384615,0.023061132301918735,0.0004998031721221062,0.030658454435968666,0.015144154456462182
29,0.13151283264160157,0.0013175487518310546,0.6007692307692307,0.6173076923076923,10.0,"(31,)",15,"{'NN__alpha': 10.0, 'pca__n_components': 15, 'NN__hidden_layer_sizes': (31,)}",72,0.6211538461538462,0.6423076923076924,0.5365384615384615,0.5456730769230769,0.6269230769230769,0.6644230769230769,0.625,0.6235576923076923,0.5942307692307692,0.6105769230769231,0.023251905738613726,0.00012000328762682608,0.034219963722361885,0.04015157118518595
30,0.10694799423217774,0.0016091346740722656,0.5603846153846154,0.5790384615384616,10.0,"(31,)",20,"{'NN__alpha': 10.0, 'pca__n_components': 20, 'NN__hidden_layer_sizes': (31,)}",147,0.5634615384615385,0.5663461538461538,0.5211538461538462,0.5211538461538462,0.6230769230769231,0.6548076923076923,0.5019230769230769,0.5490384615384616,0.5923076923076923,0.6038461538461538,0.023796940017157087,0.00036583040006596347,0.04453241622318012,0.04640715742592977
31,0.11825523376464844,0.002620220184326172,0.5942307692307692,0.6030769230769231,10.0,"(31,)",25,"{'NN__alpha': 10.0, 'pca__n_components': 25, 'NN__hidden_layer_sizes': (31,)}",86,0.6,0.6245192307692308,0.6461538461538462,0.61875,0.5884615384615385,0.6072115384615384,0.5692307692307692,0.56875,0.5673076923076923,0.5961538461538461,0.01959854749331594,0.00035640070497091117,0.028679002895857328,0.01974223688338694
32,0.12681493759155274,0.002591848373413086,0.5911538461538461,0.5974999999999999,10.0,"(31,)",30,"{'NN__alpha': 10.0, 'pca__n_components': 30, 'NN__hidden_layer_sizes': (31,)}",94,0.5711538461538461,0.625,0.65,0.635576923076923,0.5980769230769231,0.5903846153846154,0.6288461538461538,0.6269230769230769,0.5076923076923077,0.5096153846153846,0.022192341201193757,7.997626766209131e-05,0.049593018214475544,0.04657500154837109
33,0.11382341384887695,0.002860403060913086,0.5253846153846153,0.5541346153846154,10.0,"(31,)",35,"{'NN__alpha': 10.0, 'pca__n_components': 35, 'NN__hidden_layer_sizes': (31,)}",209,0.5576923076923077,0.5942307692307692,0.5461538461538461,0.5533653846153846,0.43846153846153846,0.4841346153846154,0.5692307692307692,0.5966346153846154,0.5153846153846153,0.5423076923076923,0.019229331135677007,0.00020457456685769857,0.04701755935364961,0.04112035840966911
